"imei","geo_id","start_time","end_time","research_assistant_name","photo","gps","zone","state","lga","ward","community","nearest_locality","nearest_school_or_clinic","pre_existing_id","water_source_type","distribution_type","lift","water_source_developed_by","water_source_managed_by_federal_","water_source_managed_by_state_go","water_source_managed_by_local_go","water_source_managed_by_communit","water_source_managed_by_individu","water_source_managed_by_internat","water_source_managed_by_private_","water_source_managed_by_other","federal_gov_managing_name","state_gov_managing_name","local_gov_managing_name","community_managing_name","individual_org_managing_name","intl_partner_managing_name","private_org_managing_name","pay_for_water_yn","water_source_used_today_yn","reasons_water_source_not_used_pu","reasons_water_source_not_used_no","reasons_water_source_not_used_ot","reaons_water_source_not_used_di","reaons_water_source_not_used_el","reasons_water_source_not_used_mi","reasons_water_source_not_used_li","reasons_water_source_not_used_ki","reasons_water_source_not_used_po","reasons_water_source_not_used_dr","reasons_water_source_not_used_st","reasons_water_source_not_used_do","water_source_physical_state","other_close_water_source_yn","season_water_source_used","helped_to_complete_nobody","helped_to_complete_lga_staff","helped_to_complete_community_mem","helped_to_complete_none","_xform_id_string","_surveyor_name","_status","_lga_id","_attachments","_id"
3.55E+014,121494,03/29/11 11:19 AM,03/29/11 11:26 AM,,,,"northwest",,,,,,,,"tube_well","single_point","rope_pulley","other",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,"n/a","n/a","n/a","no","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","well_maintained","yes","year_round",FALSE,FALSE,TRUE,FALSE,"Water_2011_03_18",,"complete",,,8409
3.55E+014,121494,03/29/11 11:28 AM,03/29/11 01:23 PM,,,,"northwest",,,,,,,,"tube_well","single_point","rope_pulley","local_government",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,"n/a","n/a","n/a","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"poorly_maintained","do_not_know","do_not_know",FALSE,TRUE,FALSE,FALSE,"Water_2011_03_18",,"complete",,,8410
3.55E+014,121494,03/29/11 11:39 AM,03/29/11 11:44 AM,,,,"northwest",,,,,,,,"tube_well","single_point","rope_pulley","other",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,"n/a","n/a","n/a","do_not_know","do_not_know","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","poorly_maintained","do_not_know","do_not_know",FALSE,TRUE,FALSE,FALSE,"Water_2011_03_18",,"complete",,,8411
3.55E+014,121494,03/30/11 12:15 PM,03/30/11 12:20 PM,,,,"northwest",,,,,,,,"borehole","single_point","hand_pump","state_government",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,"n/a","n/a","n/a","no","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","well_maintained","no","year_round",FALSE,FALSE,TRUE,FALSE,"Water_2011_03_18",,"complete",,,8416
3.55E+014,121494,03/30/11 12:20 PM,03/30/11 12:25 PM,,,,"northwest",,,,,,,,"tube_well","single_point","rope_pulley","other",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,"n/a","n/a","n/a","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"poorly_maintained","yes","do_not_know",FALSE,FALSE,TRUE,FALSE,"Water_2011_03_18",,"complete",,,8417
3.55E+014,411017,03/24/11 03:44 PM,03/24/11 03:52 PM,,,,"southeast",,,,,,,,"borehole","single_point","hand_pump","state_government",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,"n/a","n/a","n/a","no","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","well_maintained","yes","year_round",FALSE,FALSE,TRUE,FALSE,"Water_2011_03_18",,"complete",,,8744
3.55E+014,411017,03/24/11 03:52 PM,03/24/11 03:56 PM,,,,"southeast",,,,,,,,"borehole","single_point","hand_pump","state_government",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,"n/a","n/a","n/a","no","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","poorly_maintained","yes","year_round",FALSE,FALSE,TRUE,FALSE,"Water_2011_03_18",,"complete",,,8745
3.55E+014,121494,03/28/11 12:37 PM,03/28/11 12:43 PM,,,,"northwest",,,,,,,,"borehole","single_point","hand_pump","local_government",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,"n/a","n/a","n/a","no","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","well_maintained","no","year_round",FALSE,FALSE,TRUE,FALSE,"Water_2011_03_18",,"submitted_via_web",,,3328
3.55E+014,121494,03/29/11 11:03 AM,03/29/11 11:08 AM,,,,"northwest",,,,,,,,"tube_well","single_point","rope_pulley","other",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,"n/a","n/a","n/a","no","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","poorly_maintained","yes","year_round",FALSE,TRUE,TRUE,FALSE,"Water_2011_03_18",,"submitted_via_web",,,3909
3.55E+014,121494,03/24/11 03:21 PM,03/24/11 03:27 PM,,,,"northwest",,,,,,,,"protected_dug_well","single_point","rope_pulley","local_government",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,"n/a","n/a","n/a","no","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","well_maintained","yes","year_round",FALSE,TRUE,TRUE,FALSE,"Water_2011_03_18",,"submitted_via_web",,,5985
3.55E+014,411017,03/23/11 10:04 AM,03/23/11 10:11 AM,,,,"southeast",,,,,,,,"borehole","single_point","hand_pump","state_government",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,"n/a","n/a","n/a","no","yes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","well_maintained","no","year_round",FALSE,FALSE,TRUE,FALSE,"Water_2011_03_18",,"complete",,,8734
3.55E+014,411017,03/23/11 10:24 AM,03/23/11 10:45 AM,,,,"southeast",,,,,,,,"borehole","single_point","hand_pump","state_government",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,"n/a","n/a","n/a","no","no",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"poorly_maintained","no","do_not_know",FALSE,FALSE,TRUE,FALSE,"Water_2011_03_18",,"complete",,,8735
